Spieltag,Status,Team_1,Team_2,Tore_Team_1,Tore_Team_2
01,PASS,Bayern München,TSG Hoffenheim,3,1
01,PASS,Hertha BSC,1. FC Nürnberg,1,0
01,PASS,SV Werder Bremen,Hannover 96,1,1
01,PASS,SC Freiburg,Eintracht Frankfurt,0,2
01,PASS,VfL Wolfsburg,FC Schalke 04,2,1
01,PASS,Fortuna Düsseldorf,FC Augsburg,1,2
01,PASS,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,0
01,PASS,1. FSV Mainz 05,VfB Stuttgart,1,0
01,PASS,Borussia Dortmund,RB Leipzig,4,1
02,PASS,Hannover 96,Borussia Dortmund,0,0
02,PASS,TSG Hoffenheim,SC Freiburg,3,1
02,PASS,Bayer 04 Leverkusen,VfL Wolfsburg,1,3
02,PASS,Eintracht Frankfurt,SV Werder Bremen,1,2
02,PASS,FC Augsburg,Borussia Mönchengladbach,1,1
02,PASS,1. FC Nürnberg,1. FSV Mainz 05,1,1
02,PASS,VfB Stuttgart,Bayern München,0,3
02,PASS,RB Leipzig,Fortuna Düsseldorf,1,1
02,PASS,FC Schalke 04,Hertha BSC,0,2
03,PASS,Borussia Dortmund,Eintracht Frankfurt,3,1
03,PASS,Bayern München,Bayer 04 Leverkusen,3,1
03,PASS,RB Leipzig,Hannover 96,3,2
03,PASS,1. FSV Mainz 05,FC Augsburg,2,1
03,PASS,VfL Wolfsburg,Hertha BSC,2,2
03,PASS,Fortuna Düsseldorf,TSG Hoffenheim,2,1
03,PASS,Borussia Mönchengladbach,FC Schalke 04,2,1
03,PASS,SV Werder Bremen,1. FC Nürnberg,1,1
03,PASS,SC Freiburg,VfB Stuttgart,3,3
04,PASS,VfB Stuttgart,Fortuna Düsseldorf,0,0
04,PASS,VfL Wolfsburg,SC Freiburg,1,3
04,PASS,TSG Hoffenheim,Borussia Dortmund,1,1
04,PASS,Hertha BSC,Borussia Mönchengladbach,4,2
04,PASS,FC Augsburg,SV Werder Bremen,2,3
04,PASS,1. FC Nürnberg,Hannover 96,2,0
04,PASS,FC Schalke 04,Bayern München,0,2
04,PASS,Bayer 04 Leverkusen,1. FSV Mainz 05,1,0
04,PASS,Eintracht Frankfurt,RB Leipzig,1,1
05,PASS,SV Werder Bremen,Hertha BSC,3,1
05,PASS,Bayern München,FC Augsburg,1,1
05,PASS,Hannover 96,TSG Hoffenheim,1,3
05,PASS,SC Freiburg,FC Schalke 04,1,0
05,PASS,Fortuna Düsseldorf,Bayer 04 Leverkusen,1,2
05,PASS,Borussia Dortmund,1. FC Nürnberg,7,0
05,PASS,RB Leipzig,VfB Stuttgart,2,0
05,PASS,Borussia Mönchengladbach,Eintracht Frankfurt,3,1
05,PASS,1. FSV Mainz 05,VfL Wolfsburg,0,0
06,PASS,Hertha BSC,Bayern München,2,0
06,PASS,FC Schalke 04,1. FSV Mainz 05,1,0
06,PASS,TSG Hoffenheim,RB Leipzig,1,2
06,PASS,VfB Stuttgart,SV Werder Bremen,2,1
06,PASS,VfL Wolfsburg,Borussia Mönchengladbach,2,2
06,PASS,1. FC Nürnberg,Fortuna Düsseldorf,3,0
06,PASS,Bayer 04 Leverkusen,Borussia Dortmund,2,4
06,PASS,Eintracht Frankfurt,Hannover 96,4,1
06,PASS,FC Augsburg,SC Freiburg,4,1
07,PASS,SV Werder Bremen,VfL Wolfsburg,2,0
07,PASS,Borussia Dortmund,FC Augsburg,4,3
07,PASS,Hannover 96,VfB Stuttgart,3,1
07,PASS,1. FSV Mainz 05,Hertha BSC,0,0
07,PASS,Fortuna Düsseldorf,FC Schalke 04,0,2
07,PASS,Bayern München,Borussia Mönchengladbach,0,3
07,PASS,SC Freiburg,Bayer 04 Leverkusen,0,0
07,PASS,TSG Hoffenheim,Eintracht Frankfurt,1,2
07,PASS,RB Leipzig,1. FC Nürnberg,6,0
08,PASS,Eintracht Frankfurt,Fortuna Düsseldorf,7,1
08,PASS,Bayer 04 Leverkusen,Hannover 96,2,2
08,PASS,VfB Stuttgart,Borussia Dortmund,0,4
08,PASS,FC Augsburg,RB Leipzig,0,0
08,PASS,VfL Wolfsburg,Bayern München,1,3
08,PASS,1. FC Nürnberg,TSG Hoffenheim,1,3
08,PASS,FC Schalke 04,SV Werder Bremen,0,2
08,PASS,Hertha BSC,SC Freiburg,1,1
08,PASS,Borussia Mönchengladbach,1. FSV Mainz 05,4,0
09,PASS,SC Freiburg,Borussia Mönchengladbach,3,1
09,PASS,Borussia Dortmund,Hertha BSC,2,2
09,PASS,Hannover 96,FC Augsburg,1,2
09,PASS,1. FSV Mainz 05,Bayern München,1,2
